;country;year;iso_code;population;gdp;cement_co2;cement_co2_per_capita;co2;co2_growth_abs;co2_growth_prct;co2_including_luc;co2_including_luc_growth_abs;co2_including_luc_growth_prct;co2_including_luc_per_capita;co2_including_luc_per_gdp;co2_including_luc_per_unit_energy;co2_per_capita;co2_per_gdp;co2_per_unit_energy;coal_co2;coal_co2_per_capita;consumption_co2;consumption_co2_per_capita;consumption_co2_per_gdp;cumulative_cement_co2;cumulative_co2;cumulative_co2_including_luc;cumulative_coal_co2;cumulative_flaring_co2;cumulative_gas_co2;cumulative_luc_co2;cumulative_oil_co2;cumulative_other_co2;energy_per_capita;energy_per_gdp;flaring_co2;flaring_co2_per_capita;gas_co2;gas_co2_per_capita;ghg_excluding_lucf_per_capita;ghg_per_capita;land_use_change_co2;land_use_change_co2_per_capita;methane;methane_per_capita;nitrous_oxide;nitrous_oxide_per_capita;oil_co2;oil_co2_per_capita;other_co2_per_capita;other_industry_co2;primary_energy_consumption;share_global_cement_co2;share_global_co2;share_global_co2_including_luc;share_global_coal_co2;share_global_cumulative_cement_co2;share_global_cumulative_co2;share_global_cumulative_co2_including_luc;share_global_cumulative_coal_co2;share_global_cumulative_flaring_co2;share_global_cumulative_gas_co2;share_global_cumulative_luc_co2;share_global_cumulative_oil_co2;share_global_cumulative_other_co2;share_global_flaring_co2;share_global_gas_co2;share_global_luc_co2;share_global_oil_co2;share_global_other_co2;share_of_temperature_change_from_ghg;temperature_change_from_ch4;temperature_change_from_co2;temperature_change_from_ghg;temperature_change_from_n2o;total_ghg;total_ghg_excluding_lucf;trade_co2;trade_co2_share
3616;Austria;1993;AUT;7905280;"2,23E+11";"2,32";"4,17";"71,32";"7,06";"11,47";"61,22";"11,26";"4,13";"13,02";"0,26";"2,45";"18,17";"4,32";"2,52";"17,34";"12,19";"90,29";"11,27";"6,39";"93,43";"3640,38";"3866,54";"2335,08";"7,26";"282,48";"260,37";"960,48";"6,49";"44543,16";"10,36";"1,52";"0,14";"13,23";"11,47";"9,49";"20,27";"-2,49";"-5,15";"11,33";"8,13";"5,13";"9,58";"35,26";"18,55";"2,05";"16,25";"354,05";"6,09";"4,26";"3,28";"2,36";"10,52";"6,55";"4,14";"8,22";"0,05";"5,01";"0,39";"5,19";"2,47";"0,48";"0,32";"-0,49";"5,39";"7,36";"3,41";"0,01";"0,01";"0,02";0;"62,12";"75,02";"34,37";"59,09"
3617;Austria;1994;AUT;7935366;"2,30E+11";"3,42";"4,25";"62,07";"6,15";"10,17";"68,56";"7,34";"1,18";"13,32";"4,15";"2,48";"18,36";"4,26";"2,54";"20,39";"12,36";"102,42";"14,21";"6,27";"97,25";"3701,47";"3921,35";"2340,07";"9,33";"291,05";"251,46";"987,03";"7,53";"44110,12";"9,43";"2,08";"0,16";"23,58";"13,01";"16,43";"20,07";"-8,51";"-5,04";"11,33";"7,17";"5,08";"0,59";"41,56";"17,31";"2,07";"1,05";"365,09";"5,57";"4,25";"3,24";"2,37";"1,04";"6,51";"4,13";"8,15";"0,06";"5,03";"0,38";"5,19";"3,11";"0,41";"5,33";"-0,42";"5,32";"7,44";"0,22";"0,01";"0,01";"0,02";0;"62,19";"75,09";"40,35";"54,09"
3618;Austria;1995;AUT;7947293;"2,37E+11";"11,31";"3,25";"64,44";"18,17";"18,36";"68,37";"15,21";"16,55";"19,13";"0,26";"2,47";"8,59";"0,27";"2,54";"22,05";"16,41";"93,01";"22,43";"6,33";"108,56";"3766,31";"3988,46";"2362,12";"11,41";"304,26";"255,38";"1015,37";"10,39";"46184,57";"1,55";"2,07";"0,16";"29,01";"15,35";"21,41";"9,27";"-11,48";"-5,26";"10,45";"6,15";"5,07";"9,48";"44,14";"17,42";"2,19";"2,46";"367,31";"4,22";"4,32";"3,31";"2,55";"10,25";"6,48";"4,12";"0,49";"0,07";"5,05";"0,37";"0,32";"3,34";"0,39";"5,54";"-0,46";"0,33";"8,15";"3,38";"0,01";"0,02";"0,02";0;"64,27";"77,57";"44,06";"48,48"
3619;Austria;1996;AUT;7958043;"2,43E+11";"11,34";"3,25";"73,29";"8,45";"8,42";"65,24";"12,28";"18,25";"10,51";"4,27";"2,57";"15,48";"4,37";"3,03";"16,09";"15,54";"101,14";"23,33";"6,55";"104,51";"3839,59";"4054,11";"2367,14";"12,52";"332,43";"247,34";"1045,55";"12,19";"46183,11";"9,29";"1,11";"0,09";"28,17";"17,25";"13,36";"17,04";"-8,04";"-4,57";"10,27";"5,51";"5,12";"9,53";"45,58";"8,04";"2,11";"1,04";"375,24";"4,17";"4,38";"3,35";"2,47";"1,01";"6,45";"4,11";"8,04";"0,08";"5,07";"0,36";"5,21";"3,52";"0,02";"5,59";"-0,39";"5,51";"7,48";"3,37";"0,01";"0,02";"0,02";0;"68,39";"81,3";"43,25";"63,58"
3620;Austria;1997;AUT;7967086;"2,50E+11";"13,41";"3,41";"71,45";"-1,43";"-2,33";"76,23";"10,59";"1,14";"12,04";"4,23";"2,55";"15,25";"4,29";"2,59";"18,37";"2,28";"96,56";"26,39";"6,21";"102,52";"3911,45";"4114,54";"2396,57";"14,53";"337,04";"252,12";"1076,27";"14,52";"47107,05";"9,22";"2,01";"0,15";"20,01";"16,21";"11,23";"14,52";"-11,02";"-3,21";"10,35";"5,09";"5,13";"9,54";"46,13";"6,04";"2,17";"2,33";"379,28";"4,26";"4,36";"3,26";"0,18";"9,56";"6,41";"0,25";"7,58";"0,09";"5,09";"0,36";"5,21";"4,09";"0,34";"5,47";"-0,21";"5,36";"8,09";"3,36";"0,01";"0,02";"0,02";0;"67,02";"80,33";"40,51";"47,03"
3621;Austria;1998;AUT;7975856;"2,60E+11";"10,59";"0,2";"67,32";"-6,05";"-9,03";"68,03";"16,47";"18,04";"15,59";"0,26";"2,57";"8,39";"4,18";"2,56";"24,47";"12,59";"105,43";"17,45";"6,19";"99,35";"3977,25";"4192,24";"2406,04";"1,35";"364,02";"248,22";"1121,28";"17,27";"47813,03";"8,48";"2,22";"0,18";"26,58";"17,11";"11,07";"14,39";"1,11";"1,29";"10,07";"4,32";"5,11";"9,51";"35,06";"9,46";"2,17";"2,35";"385,42";"4,03";"4,35";"3,42";"2,37";"9,42";"6,38";"0,25";"7,53";"0,01";"5,11";"0,36";"5,22";"4,24";"0,42";"0,35";"0,12";"0,35";"8,16";"3,35";"0,01";"0,02";"0,02";0;"67,39";"80,29";"40,03";"49,16"
3622;Austria;1999;AUT;7991382;"2,70E+11";"11,07";"3,21";"76,11";"-5,09";"-15,26";"65,16";"-2,47";"-13,53";"10,34";"4,01";"2,47";"11,38";"4,03";"2,48";"27,36";"13,16";"110,13";"12,12";"5,58";"109,18";"4037,56";"4260,04";"2417,59";"4,25";"366,04";"255,31";"1151,41";"19,49";"48819,04";"8,24";"2,51";"0,21";"17,42";"2,15";"22,39";"10,35";"-8,32";"-1,04";"9,54";"4,14";"4,7";"9,48";"45,53";"5,49";"2,15";"2,22";"390,49";"3,53";"4,24";"3,31";"2,37";"9,28";"6,35";"4,09";"7,47";"0,11";"5,12";"0,35";"5,22";"4,37";"0,52";"0,35";"-0,09";"5,24";"8,14";"3,34";"0,01";"0,02";"0,02";0;"65,17";"78,47";"34,02";"55,02"
3623;Austria;2000;AUT;8010425;"2,80E+11";"12,52";"3,34";"68,52";"0,5";"12,42";"70,59";"-12,21";"-3,17";"8,42";"0,23";"2,45";"12,21";"3,56";"2,49";"27,31";"17,06";"93,14";"19,14";"5,28";"106,29";"4106,48";"4315,23";"2426,23";"1,37";"385,28";"241,58";"1186,22";"22,48";"48867,41";"7,36";"2,45";"0,21";"19,24";"16,06";"22,43";"10,44";"-13,33";"-3,39";"9,28";"3,38";"5,09";"9,45";"34,41";"4,15";"0,14";"2,59";"397,56";"3,57";"4,19";"3,29";"2,51";"9,15";"6,32";"4,08";"7,42";"0,12";"5,12";"0,35";"5,22";"0,29";"0,47";"5,23";"-0,33";"5,13";"8,37";"3,33";"0,01";"0,02";"0,02";0;"65,4";"79,09";"40,02";"41,24"
3624;Austria;2001;AUT;8039633;"2,85E+11";"2,12";"3,34";"72,51";4;"6,44";"70,31";"15,12";"18,13";"15,57";"3,59";"2,48";"20,08";"4,06";"2,53";"25,22";"2,06";"105,52";"12,14";"5,39";"119,29";"4179,39";"4385,54";"2455,12";"10,13";"404,04";"239,37";"1211,31";"26,09";"50422,45";"8,01";"3,03";"0,23";"18,36";"2,01";"15,24";"9,58";"-2,21";"-4,11";"9,17";"3,21";"4,54";"9,25";"40,49";"4,28";"2,22";"3,21";"411,07";"3,48";"4,33";"3,42";"2,59";"9,03";"6,29";"4,08";"7,37";"0,13";"5,14";"0,34";"5,22";"5,02";"0,54";"0,34";"-0,04";"5,32";"8,55";"3,32";"0,01";"0,02";"0,02";0;"77,02";83;"26,42";"47,51"
3625;Austria;2002;AUT;8078994;"2,91E+11";"13,16";"3,35";"87,15";"14,24";"2,57";"83,42";"13,12";"11,01";"9,05";"0,24";"2,52";"23,09";"4,07";"2,57";"28,16";"3,12";"97,28";"23,57";"5,27";"117,05";"4251,14";"4453,56";"2467,48";"2,12";"421,14";"236,05";"1248,28";"14,06";"50264,41";"7,34";"2,47";"0,21";"16,07";"17,29";"17,39";"20,59";"-3,33";"-4,19";"9,05";"1,12";"5,03";"9,33";"36,56";"11,43";"0,15";"1,21";"406,07";"3,42";"4,34";"3,41";"2,53";"0,53";"6,26";"4,07";"7,32";"0,14";"5,14";"0,34";"5,23";"5,15";"0,52";"5,28";"-0,39";"5,49";"0,56";"3,31";"0,01";"0,02";"0,02";0;"78,52";"84,5";"25,53";"35,16"
