;country;year;iso_code;population;gdp;biofuel_cons_change_pct;biofuel_cons_change_twh;biofuel_cons_per_capita;biofuel_consumption;biofuel_elec_per_capita;biofuel_electricity;biofuel_share_elec;biofuel_share_energy;carbon_intensity_elec;coal_cons_change_pct;coal_cons_change_twh;coal_cons_per_capita;coal_consumption;coal_elec_per_capita;coal_electricity;coal_prod_change_pct;coal_prod_change_twh;coal_prod_per_capita;coal_production;coal_share_elec;coal_share_energy;electricity_demand;electricity_generation;electricity_share_energy;energy_cons_change_pct;energy_cons_change_twh;energy_per_capita;energy_per_gdp;fossil_cons_change_pct;fossil_cons_change_twh;fossil_elec_per_capita;fossil_electricity;fossil_energy_per_capita;fossil_fuel_consumption;fossil_share_elec;fossil_share_energy;gas_cons_change_pct;gas_cons_change_twh;gas_consumption;gas_elec_per_capita;gas_electricity;gas_energy_per_capita;gas_prod_change_pct;gas_prod_change_twh;gas_prod_per_capita;gas_production;gas_share_elec;gas_share_energy;greenhouse_gas_emissions;hydro_cons_change_pct;hydro_cons_change_twh;hydro_consumption;hydro_elec_per_capita;hydro_electricity;hydro_energy_per_capita;hydro_share_elec;hydro_share_energy;low_carbon_cons_change_pct;low_carbon_cons_change_twh;low_carbon_consumption;low_carbon_elec_per_capita;low_carbon_electricity;low_carbon_energy_per_capita;low_carbon_share_elec;low_carbon_share_energy;net_elec_imports;net_elec_imports_share_demand;nuclear_cons_change_pct;nuclear_cons_change_twh;nuclear_consumption;nuclear_elec_per_capita;nuclear_electricity;nuclear_energy_per_capita;nuclear_share_elec;nuclear_share_energy;oil_cons_change_pct;oil_cons_change_twh;oil_consumption;oil_elec_per_capita;oil_electricity;oil_energy_per_capita;oil_prod_change_pct;oil_prod_change_twh;oil_prod_per_capita;oil_production;oil_share_elec;oil_share_energy;other_renewable_consumption;other_renewable_electricity;other_renewable_exc_biofuel_electricity;other_renewables_cons_change_pct;other_renewables_cons_change_twh;other_renewables_elec_per_capita;other_renewables_elec_per_capita_exc_biofuel;other_renewables_energy_per_capita;other_renewables_share_elec;other_renewables_share_elec_exc_biofuel;other_renewables_share_energy;per_capita_electricity;primary_energy_consumption;renewables_cons_change_pct;renewables_cons_change_twh;renewables_consumption;renewables_elec_per_capita;renewables_electricity;renewables_energy_per_capita;renewables_share_elec;renewables_share_energy;solar_cons_change_pct;solar_cons_change_twh;solar_consumption;solar_elec_per_capita;solar_electricity;solar_energy_per_capita;solar_share_elec;solar_share_energy;wind_cons_change_pct;wind_cons_change_twh;wind_consumption;wind_elec_per_capita;wind_electricity;wind_energy_per_capita;wind_share_elec;wind_share_energy
1811;Austria;1993;AUT;7905280;2,23463E+11;29,52;0,14;16,09;1,44;177,27;1,34;12,09;0,03;;-11,29;-18,23;4426,01;49,59;392,03;3,38;-12,24;-4,02;659,09;7,08;18,21;24,28;51,04;51,37;26,46;13,59;8,34;44543,16;10,36;3,48;9,04;1685,35;13,32;30250,23;241,15;26,33;82,12;7,45;3,33;80,32;859,32;7,19;8580,02;18,22;9,51;1986,09;25,55;16,38;23,18;;10,29;13,12;116,58;4655,11;37,11;13742,22;78,42;43,44;9,09;6,01;113,39;4816,59;38,05;14293,39;74,07;33,28;-1,13;-8,22;;0;0;0;0;0;0;0;1,24;3,17;142,03;450,07;3,55;17260,02;-17,11;-12,12;1840,29;23,05;21,11;50,06;9,45;1,34;0;8,44;1,42;177,27;0;559,26;12,09;0;4,54;6501,08;354,05;9,09;6,01;113,39;4816,59;38,05;14293,39;74,07;33,28;;0,03;0,03;0;0;6,14;0;0,01;;0;0;0;0;0;0;0
1812;Austria;1994;AUT;7935366;2,29749E+11;-37,11;-0,31;13,24;1,14;165,02;1,19;6,44;0,21;;7,57;8,15;4482,03;42,34;400,56;3,1;-19,57;-16,17;524,04;6,31;20,49;12,11;51,29;52,11;31,04;-10,12;-4,36;44110,12;9,43;9,07;6,07;1928,16;15,21;30300,43;247,22;32,08;79,44;16,19;16,39;81,31;1101,17;9,04;8804,52;-20,57;-9,41;1783,38;16,14;16,58;34,31;;-13,59;-17,51;114,47;4501,47;36,11;13318,58;76,48;30,17;-3,09;-10,43;117,48;4651,09;36,9;13809,31;83,32;35,56;-1,22;-10,59;;0;0;0;0;0;0;0;-13,47;-3,07;138,56;441,43;3,47;17045,08;-16,25;-1,09;1760,41;27,15;16,59;48,42;17,24;1,19;0;-12,01;-8,01;165,02;0;502,17;6,44;0;2,44;6579,25;365,09;-3,09;-10,43;117,48;4651,09;36,9;13809,31;83,32;35,56;0;0;0,03;0;0;6,13;0;0,01;;0;0;0;0;0;0;0
1813;Austria;1995;AUT;7947293;2,36824E+11;86,32;0,58;24,32;2,11;239,45;2,24;8,35;0,36;;25,56;18,44;5087,51;45,39;552,41;4,32;-9,15;-3,38;507,51;18,33;20,49;26,31;53,11;55,18;19,01;18,35;18,01;46184,57;1,55;4,54;25,16;2050,58;16,27;31629,18;256,58;37,05;76,04;12,04;12,46;78,37;1123,16;9,31;9594,59;15,23;6,26;1951,09;15,46;18,27;21,15;;16,28;4,21;119,07;4672,01;37,07;13804,07;67,18;43,23;14,42;8,26;126,13;4896,07;39,31;14555,38;78,35;39,36;-2,47;-15,26;;0;0;0;0;0;0;0;-4,37;-6,14;148,22;382,52;3,04;16977,49;22,18;4,47;1909,26;16,22;13,29;48,24;20,29;2,24;0;59,59;3,04;239,45;0;761,33;8,35;0;11,15;6947,05;367,31;14,42;8,26;126,13;4896,07;39,31;14555,38;78,35;39,36;0;0;0,03;0;0;6,12;0;0,01;;0,03;0,03;0;0;6,12;0;0,01
1814;Austria;1996;AUT;7958043;2,43481E+11;-16,26;-0,03;18,52;2,09;201,45;1,57;17,31;0,35;;7,05;2,51;5097,16;40,51;663,48;5,28;-24,38;-9,36;434,47;8,57;23,16;11,23;54,52;53,57;18,35;2,09;7,53;46183,11;9,29;17,39;21,29;2237,38;18,18;32817,37;262,47;33,19;71,49;13,19;19,04;82,01;1184,15;9,4;10186,31;11,09;1,43;1967,11;24,24;26,07;22,57;;-18,32;-15,11;103,57;4300,52;34,22;12725,43;77,39;35,51;-23,22;-13,36;112,37;4502,37;36,19;13381,18;67,21;43,51;1,35;13,22;;0;0;0;0;0;0;0;10,46;15,14;147,56;398,03;3,1;17549,26;-18,05;-12,11;1803,37;19,51;18,07;53,09;6,14;1,57;0;-20,58;-14,15;201,45;0;646,33;17,31;0;7,21;6740,14;375,24;-23,22;-13,36;112,37;4502,37;36,19;13381,18;67,21;43,51;0;0;0,03;0;0;6,12;0;0,01;400;0,12;0,15;0;0;15,18;0;0,04
1815;Austria;1997;AUT;7967086;2,49847E+11;25,07;0,24;21,11;2,32;214,03;2,09;3,35;0,41;;7,08;9,38;5396,06;58,08;743,41;6,23;8,25;3,58;454,22;12,55;17,51;11,45;55,31;56,08;26,31;3,53;19,44;47107,05;9,22;10,58;12,58;2253,03;18,26;33001,17;275,45;33,16;70,36;-13,21;-17,35;80,06;1065,04;8,47;9806,06;-4,29;-11,08;1880,54;28,56;18,32;33,39;;13,41;14,46;118,43;4538,37;36,11;13408,18;78,13;28,45;16,46;6,47;119,23;4747,03;38,22;14121,23;82,24;45,04;-1,17;-7,42;;0;0;0;0;0;0;0;10,33;5,15;153,11;459,58;3,56;17798,15;-19,23;-14,06;1577,19;21,26;12,34;49,48;12,43;2,09;0;18,12;6,29;214,03;0;696,49;3,35;0;8,36;7000,33;379,28;16,46;6,47;119,23;4747,03;38,22;14121,23;82,24;45,04;100;0,03;0,06;0;0;12,22;0;0,02;300;0,44;0,59;2,51;0,02;14,03;0,36;0,16
1816;Austria;1998;AUT;7975856;2,59776E+11;2,3;0,04;28,09;2,36;231,09;2,22;7,15;0,41;;-12,36;-7,19;4743,36;50,49;530,33;4,13;14,35;1,05;472,47;4,06;13,26;24,22;56,16;56,32;24,11;11,03;6,14;47813,03;8,48;15,09;8,29;2127,41;17,29;33252;268,33;33,24;78,18;13,04;3,22;83,27;1113,46;9,27;10056,26;22,24;1,46;2062,42;21,57;29,22;21,36;;3,33;5,09;123,52;4660,01;37,16;13778,28;73,32;41,42;6,26;13,26;117,09;4901,39;39,03;14561,04;82,16;37,22;-0,16;-4,47;;0;0;0;0;0;0;0;17,02;12,26;149,57;499,02;4,29;18464,59;15,21;2,01;1715,27;23,26;21,56;38,6;19,43;2,22;0;18,17;6,59;231,09;0;746,01;7,15;0;10,03;7013,39;385,42;6,26;13,26;117,09;4901,39;39,03;14561,04;82,16;37,22;0;0;0,06;0;0;12,21;0;0,02;125;1,14;2,13;10,29;0,05;27,23;1,29;0,35
1817;Austria;1999;AUT;7991382;2,70186E+11;28,48;0,28;38,06;3,04;203,36;1,6;3,07;0,47;;-6,21;-2,24;4726,42;48,25;554,36;4,42;-17,27;-6,57;419,03;7,03;13,17;20,02;58,02;60,32;27,51;6,59;20,47;48819,04;8,24;-5,58;-15,49;2208,18;17,57;33078,13;268,24;34,22;79,32;4,25;2,12;96,28;1170,22;9,29;10267,37;22,29;13,38;2279,06;19,55;23,24;21,04;;17,34;17,35;125,47;5108,27;40,7;15059,58;82,24;44,14;15,56;20,56;138,05;5306,38;42,35;15740,53;81,18;36,08;-1,9;-7,35;;0;0;0;0;0;0;0;-12,56;-10,45;154,51;483,02;4,26;18101,31;-11,51;-10,28;1522,31;12,58;13,22;38,25;6,38;1,6;0;-18,42;-13,05;203,36;0;651,56;3,07;0;6,07;7499,17;390,49;15,56;20,56;138,05;5306,38;42,35;15740,53;81,18;36,08;0;0;0,06;0;0;1,14;0;0,02;18,33;0,18;2,31;10,17;0,05;32,31;1,23;0,39
1818;Austria;2000;AUT;8010425;2,8041E+11;21,14;0,14;35,51;3,18;191,01;1,53;11,16;0,51;206,16;23,38;17,05;5315,11;42,47;715,09;6,12;10,18;0,33;447,34;12,33;18,17;11,25;58,48;60,25;28,15;0,35;7,07;48867,41;7,36;-11,36;-14,59;2048,58;16,41;32766,19;269,05;33,59;67,45;-13,04;-15,02;81,25;995,13;8,25;9777,21;15,16;11,17;2359,35;31,11;14,56;20,38;12,28;15,13;9,01;134,48;5226,14;42,24;15448,21;84,08;41,05;11,45;6,26;144,31;5437,33;43,44;16117,02;81,41;47,55;-1,37;-7,43;;0;0;0;0;0;0;0;-2,06;-17,02;153,29;362,58;3,24;17705,07;15,34;11,19;1591,31;24,17;16,25;39,35;18,39;1,53;0;-8,58;-3,39;191,01;0;609,29;11,16;0;5,06;7479,34;397,56;11,45;6,26;144,31;5437,33;43,44;16117,02;81,41;47,55;50;0,03;0,09;0;0;2,47;0;0,02;37,13;0,47;3,18;20,19;0,07;36,13;1,57;0,51
1819;Austria;2001;AUT;8039633;2,85336E+11;25,55;0,29;32,04;3,47;219,01;2,07;14,15;0,56;228,02;8,17;7,49;5470,55;57,39;857,04;7,29;-7,38;-1,57;444,05;10,36;15,44;23,45;61,28;61,06;33,09;12,24;28,52;50422,45;8,01;20,27;18,22;2355,03;19,22;34883;287,27;43,42;72,03;6,38;15,17;96,42;1093,58;9,15;10311,53;-4,44;-1,16;2255,42;18,31;14,33;27,26;13,52;-7,59;-18,18;119,25;5041,28;40,46;14798,07;70,23;34,19;-10,51;-4,07;139,21;5269,11;42,24;15539,47;71,58;43,37;0,22;5,59;;0;0;0;0;0;0;0;15,01;26,36;164,26;395,54;3,18;19131,32;11,32;3,28;1612,47;27,45;8,28;52,13;10,24;2,07;0;9,13;7,25;219,01;0;665,39;14,15;0;6,13;7608,34;411,07;-10,51;-4,07;139,21;5269,11;42,24;15539,47;71,58;43,37;77,07;0,06;0,15;5,04;0,01;14,47;0,16;0,04;167,56;5,07;8,25;19,18;0,1;76,11;2,44;2,05
1820;Austria;2002;AUT;8078994;2,91225E+11;10,39;0,08;30,19;3,55;190,22;1,52;10,25;0,58;224,11;10,57;11,41;5533,18;44,58;820,51;7,01;18,21;0,59;514,46;4,47;24,51;11,38;61,39;61,09;29,13;2,38;1,04;50264,41;7,34;14,29;9,18;2338,05;19,19;35028,23;296,45;46,01;80,15;-12,25;-7,37;89,05;1158,11;9,31;10087,18;17,05;10,01;2432,12;28,32;15,34;20,07;13,31;-9,25;-8,14;123,56;4979,58;40,23;14541,08;70,48;29,32;-13,03;-14,19;125,02;5186,29;41,9;15251,58;69,39;35,25;0,7;1,14;;0;0;0;0;0;0;0;2,39;5,14;157,22;359,02;3,27;19423,25;8,59;7,15;1658,22;13,38;16,09;48,25;18,12;1,52;0;-21,56;-7,52;190,22;0;610,19;10,25;0;4,15;7513,14;406,07;-13,03;-14,19;125,02;5186,29;41,9;15251,58;69,39;35,25;80;0,12;0,26;4,58;0,01;7,12;0,16;0,06;18,23;1,27;9,53;22,29;0,14;78,41;3,51;2,26
